Nom;Prénom;Adresse;Téléphone;Courriel;Encan #232;Encan #233;Encan #234;Encan #235
Audet;Maxime;7890 Avenue Dufresne, Saguenay, QC, G7H 6T8;581-555-3457;maxime.audet@email.com;;;lot #1;
Beaulieu;Mélanie;1234 Rue de la Montagne, Laval, QC, H7E 4K7;514-555-6789;melanie.beaulieu@email.com;lot #4;lot #9, lot #9a, lot #9b, lot #9c;;
Bélanger;Mathieu;2567 Rue du Collège, Chicoutimi, QC, G7J 4A3;819-555-1234;mathieu.belanger@email.com;lot #6;lot #1;lot #2;
Bernier;Jonathan;456 Rue Wellington, Shawinigan, QC, G9N 1R6;819-555-2345;jonathan.bernier@email.com;;;lot #3;
Blais;Danielle;987 Rue de l'Église, Montréal, QC, H3B 1G9;514-555-4532;danielle.blais@email.com;;;lot #4, lot #4a, lot #4b;
Bouchard;Sophie;450 Rue Cartier, Laval, QC, H7N 3V1;819-555-3456;sophie.bouchard@email.com;lot #7;lot #5;lot #5;
Boucher;Antoine;7890 Rue Papineau, Longueuil, QC, J4K 5L3;450-555-5678;antoine.boucher@email.com;;;lot #6;
Bourassa;Lucie;2340 Rue des Forges, Trois-Rivières, QC, G8Y 5N9;514-555-1234;lucie.bourassa@email.com;lot #8;;lot #7;
Caron;David;9876 Rue Saint-Paul, Lévis, QC, G6V 3A9;819-555-8901;david.caron@email.com;lot #9;lot #7;lot #8;
Carrier;Simon;4567 Boulevard de la Capitale, Québec, QC, G1K 6T4;819-555-2345;simon.carrier@email.com;lot #10;lot #8;;
Cloutier;Laurence;8907 Rue Gamelin, Longueuil, QC, J4K 4B2;450-555-1236;laurence.cloutier@email.com;lot #3;;lot #9;lot #1
Cormier;Simon;4567 Rue de l'Hôpital, Laval, QC, H7N 5X2;438-555-3412;simon.cormier@email.com;;;lot #10;lot #2
Côté;Isabelle;345 Boulevard des Laurentides, Longueuil, QC, J4H 3S9;418-555-4567;isabelle.cote@email.com;lot #11;lot #12;lot #11;lot #3
Desjardins;Alexandre;9800 Rue Saint-Denis, Montréal, QC, H2X 3K4;418-555-5678;alexandre.desjardins@email.com;lot #12;;lot #12;lot #4
Dion;Annie;659 Rue des Pins, Chicoutimi, QC, G7J 5N7;819-555-3456;annie.dion@email.com;lot #13;;lot #13;lot #5
Dubois;Laurent;2300 Rue Papineau, Drummondville, QC, J2C 2X1;514-555-2345;laurent.dubois@email.com;lot #14;;lot #14;lot #6
Fortin;Jean;789 Rue Sherbrooke, Gatineau, QC, J8X 3H9;514-555-2345;jean.fortin@email.com;lot #15;;lot #15, lot #15a;lot #7
Fournier;Amélie;1987 Rue Cartier, Laval, QC, H7N 4M5;418-555-3456;amelie.fournier@email.com;lot #16;lot #14;lot #16;lot #8
Gagnon;Luc;2345 Rue Saint-Hubert, Montréal, QC, H2L 3Y8;418-555-1234;luc.gagnon@email.com;lot #17;lot #15;lot #17;lot #9
Gauthier;Marc;5675 Avenue Laurier, Saguenay, QC, G7H 5A7;514-555-7890;marc.gauthier@email.com;lot #18;lot #16;lot #18;lot #10
Girard;Julie;876 Rue King Ouest, Sherbrooke, QC, J1H 1E5;514-555-3456;julie.girard@email.com;lot #19, lot #19a, lot #19b, lot #19c;lot #17;lot #19;lot #11
Laforest;Benoît;1235 Rue de la Couronne, Lévis, QC, G6V 7H9;418-555-3210;benoit.laforest@email.com;;;lot #20;lot #12
Lambert;Hugo;5678 Rue Cartier, Laval, QC, H7K 2V1;438-555-1234;hugo.lambert@email.com;;;;lot #13
Lapointe;Chantal;560 Rue Wellington, Sherbrooke, QC, J1H 2M2;819-555-7890;chantal.lapointe@email.com;lot #20;lot #2;lot #21;lot #14
Laroche;Émile;345 Rue des Érables, Chicoutimi, QC, G7J 1K2;581-555-5678;emile.laroche@email.com;;;lot #22;lot #15
Lavoie;Jacques;1290 Rue Notre-Dame, Trois-Rivières, QC, G9A 3W6;418-555-6789;jacques.lavoie@email.com;lot #21;lot #3;lot #23;
Leduc;Marc;6789 Avenue des Pins, Gatineau, QC, J8X 3Y2;613-555-0989;marc.leduc@email.com;;;lot #24;
